malware_name,nodes_num,edgs_num,,,
7f3176a3332588c4ab209caf533585e1.exe.gexf,19,25,,,
c059957a95e39e94c7eb02b2bcec7379.exe.gexf,19,25,,,
f3264dfdb109fbe3f4cbe5de7fbd906f.gexf,19,9,,,
238f9d50e7456a4d5c0c8d64ee8100cd.exe.gexf,20,23,,,
f0e288e27b5b8818b89fdc47a6f75148.exe.gexf,20,19,,,
2afccd0bfc3f8d309cd7cf1d9c3bfe33.exe.gexf,21,19,,,
60198fe4abbb90811f98607266422fa8.exe.gexf,21,23,,,
71eb72a8411a47ca6a0bddcf27491cf1.exe.gexf,21,24,,,
72713955c1f2c0dd62548f28b3feb7cf.exe.gexf,21,8,,,
a3900b24ef6f79e21568336c9e7c0d1c.exe.gexf,21,29,,,
a883992076255952ccacdd3496b88f8d.exe.gexf,21,61,,,
d8b1f67fa21ed4f14c7e9a9729b10618.exe.gexf,21,23,,,
19bbad3002b1b578fa1e6411d02c747f.exe.gexf,22,24,,,
36bf0f813aebfd70366c9b99234ae7a6.exe.gexf,22,26,,,
9c58ab5bab6bae5558d58839a38276e3.exe.gexf,22,27,,,
b515b41ad0fd36246a78699c998fb453.exe.gexf,22,26,,,
332c940f0d7b7339661cfd7ebfe260e5.exe.gexf,23,24,,,
68e0c0c78fd29132c4b4612ae469454c.exe.gexf,23,24,,,
8aa27d3f7e2acdeb97d9477705b50c07.exe.gexf,23,13,,,
aa140f497ceb7e09fb7a26f261d28285.exe.gexf,23,10,,,
af34bb673d6662b15cf58b974f853469.exe.gexf,23,10,,,
b958ed768ed414b6b946e8e052785b46.exe.gexf,23,10,,,
ca254f41fbdc14b57fd52a2dc188bfde.exe.gexf,23,10,,,
d99f67e9d9eb34270592ee9c2a53a5df.exe.gexf,23,10,,,
e6d07dea7d2cb651d8f9ddb5e1063539.exe.gexf,23,10,,,
eeb13cf0d9bb2ec5ce266b97723b6ff6.exe.gexf,23,10,,,
177090d1505d7ed7518f3eab1c496285.exe.gexf,24,19,,,
8baa00a0542086db290683cb7baca0ce.exe.gexf,24,25,,,
945f9635a42a2ceb623dfa73eeeeab72.exe.gexf,24,8,,,
bc791fd5f32be5313563422b34f8436d.exe.gexf,24,19,,,
d23e3b13125464e172a038de429b2b10.exe.gexf,24,25,,,
dad6735b936526934472d44a6dbdecea.exe.gexf,24,23,,,
f2e082619df1f8c4eae2515f597dafc4.exe.gexf,24,20,,,
3892ad0cc7dc6564d98ea5894a709857.exe.gexf,25,36,,,
4086c5e131a6c1b6e06ecb16884e4079.exe.gexf,25,26,,,
53a4b031e61f66d73cef5c03b87d5cea.exe.gexf,25,26,,,
a0e0de702e08926e1f66109380e40dff.exe.gexf,25,25,,,
a8981ea651a60c4c5a80cc9ed75a125e.exe.gexf,25,22,,,
d0ba29807644156ef72cf3028944adf3.exe.gexf,25,32,,,
dc14d5680354556019163703cf05e886.exe.gexf,25,25,,,
dc1e33037ed29237a2f8ff0c856a500f.exe.gexf,25,11,,,
08e0b38dadf602d1b7644b3939156f44.exe.gexf,26,33,,,
9454c1a93fd58a53d29795abea755497.exe.gexf,26,28,,,
ee598413120ec7f1d3fe0de88443d88d.exe.gexf,26,26,,,
070589c3d22c9efd5ef6010ce37d7d5c.exe.gexf,27,28,,,
1edc301784949f019a6197505284bfca.exe.gexf,27,28,,,
33550c91c495b0346689738a094d29d7.exe.gexf,27,27,,,
4c47365c3d84a8cab2f119afee8cd4b2.exe.gexf,27,26,,,
5d2a9ebccbf368693698a1306d17f991.exe.gexf,27,28,,,
67d15b3a7d79516836fa684fd7438e78.exe.gexf,27,28,,,
6ce28ece0430c283381d9d9e7f570a8f.exe.gexf,27,27,,,
7286db94422bab0c46ac7989f2832543.exe.gexf,27,28,,,
7b875afc56f183fc5bc7f5118ebe6772.exe.gexf,27,28,,,
95c4e3fd184bc6b010d6439d3501756c.gexf,27,26,,,
afdbb3f13b213a1b902d5e38b45d73ff.exe.gexf,27,28,,,
b29ea50a8327a3ade0c0e5b1044f5f55.exe.gexf,27,26,,,
e14c04446752f1606ffffa0a6618a81f.exe.gexf,27,19,,,
e257a6de6acbb4899328aa1b9a0a2992.exe.gexf,27,27,,,
f20fe2440ad951a73cb8fb578949e6f1.exe.gexf,27,26,,,
4cb3b2bca232707b41010eaa7f0dc67f.exe.gexf,28,27,,,
76082a8fdbc978c805d5eacca3ffceaf.exe.gexf,28,27,,,
baeceb8decbd585c1e7be4fec4b70f79.exe.gexf,28,27,,,
c43bad0c8e3578f293145196bfda6b1a.exe.gexf,28,27,,,
cfcad7643661cca40a1c196aa2216f58.exe.gexf,28,27,,,
39dfc214582dcbd667c21352d3635ea6.exe.gexf,29,36,,,
5f7b2023b3a608d9fb2a82b8462b58ad.gexf,29,27,,,
7dfca3567f4f6c52e31b1a60d4c39cfe.exe.gexf,29,36,,,
86ad6994ef079f6c6b842425b74aa445.exe.gexf,29,27,,,
8a133b375d6a194784c295a0ebe68bc7.exe.gexf,29,36,,,
8cbd1aadcf1bdd49065db26fc427416d.gexf,29,27,,,
cb2982772cd69ed9b5051a18d2787018.exe.gexf,29,36,,,
db601f9289c27c58e2f8cd3be48ffed4.gexf,29,27,,,
dc2356e4d0d85dbd17cea623847437b9.exe.gexf,29,31,,,
dd9d3b2e0f40b564165e4a44ef4494b5.exe.gexf,29,36,,,
e84f5262b8d0b931ddbe079d25db6753.exe.gexf,29,27,,,
1758f9afd4cbf79f790694ec853ebf25.gexf,30,28,,,
28fc78f2e2a1478a319875c87b5c0a41.gexf,30,28,,,
baab5ba8b637fbe618791d641a14b5f3.gexf,30,28,,,
da9dfb3d2844847b6e7a554aadb8a9b6.exe.gexf,30,28,,,
5b3ebe439d00cfba5f4fc9cf9530077a.exe.gexf,31,20,,,
600ee73c7681807ae4f9bc27fe7a73e7.exe.gexf,31,23,,,
6b09d1dbe64196bed3fe9281cfe331a7.exe.gexf,31,13,,,
859894766dd7925cee0628d7e07bdc54.gexf,31,28,,,
a7f6ac514740f9c9dcb8ed9a70ba9459.exe.gexf,31,28,,,
b44e5d121fbeba861d998b369898a990.exe.gexf,31,13,,,
bd236fe5a36b405618eb29afb971b78f.exe.gexf,31,13,,,
d6ce10d4ecbd9b43f735cc897126e083.exe.gexf,31,23,,,
d9301b10bb67989934207ab037f5e978.exe.gexf,31,34,,,
2bb108f8d67da6e063f50e0b156c20c0.exe.gexf,32,33,,,
30da165fcee27c81c9f85da77be43070.exe.gexf,32,31,,,
3fea90c767faf332caf5bf3859cb7ff5.exe.gexf,32,31,,,
938c156ca0e111d6ad92867201131c7b.exe.gexf,32,31,,,
ed9b36e9bdcec6387fee29d7f9d3da24.gexf,32,29,,,
f8e68d6abe411ce0c71d6b8c1c1b9048.exe.gexf,32,24,,,
4f934b1b81dd46b8fe8cb9c0eecf42ac.exe.gexf,33,35,,,
